fecha_salida,precio_salida,resultado,ganancia_perdida,capital_acumulado
2026-02-02 02:00:00,76491.17,STOP_LOSS,-0.3,99.7
2026-02-05 15:00:00,67489.07,STOP_LOSS,-0.3,99.4
2026-02-25 16:00:00,68297.35,TAKE_PROFIT,0.8,100.2
